Contest Id,Tabulator Id,Batch Id,Record Id,Precinct,Precinct Portion,rank1,rank2,rank3,rank4,rank5
,2,1,44,,1,Joseph R. Biden,Elizabeth Warren,Pete Buttigieg,Bernie Sanders,Amy Klobuchar
,2,1,45,,1,Joseph R. Biden,Pete Buttigieg,Bernie Sanders,skipped,skipped
,2,1,46,,1,Elizabeth Warren,Bernie Sanders,skipped,skipped,skipped
,2,1,47,,1,Joseph R. Biden,Bernie Sanders,Pete Buttigieg,Amy Klobuchar,Elizabeth Warren
,2,1,48,,1,Bernie Sanders,skipped,skipped,skipped,skipped
,2,1,49,,1,Joseph R. Biden,Bernie Sanders,Elizabeth Warren,skipped,Pete Buttigieg
,2,1,50,,1,Bernie Sanders,Joseph R. Biden,Elizabeth Warren,Amy Klobuchar,Michael R. Bloomberg
,2,1,52,,1,Joseph R. Biden,Amy Klobuchar,Elizabeth Warren,Michael R. Bloomberg,Amy Klobuchar
,2,1,53,,1,Joseph R. Biden,Elizabeth Warren,Pete Buttigieg,Amy Klobuchar,Michael R. Bloomberg
,2,1,54,,1,Bernie Sanders,Joseph R. Biden,skipped,skipped,skipped
,2,1,55,,1,Bernie Sanders,Joseph R. Biden,skipped,skipped,skipped
,2,1,56,,1,Joseph R. Biden,Michael R. Bloomberg,skipped,skipped,skipped
,2,1,57,,1,Amy Klobuchar,Joseph R. Biden,Pete Buttigieg,Elizabeth Warren,skipped
,2,1,58,,1,Elizabeth Warren,Bernie Sanders,Joseph R. Biden,skipped,skipped
,2,1,59,,1,Bernie Sanders,Joseph R. Biden,Elizabeth Warren,Pete Buttigieg,Amy Klobuchar
,2,1,60,,1,Joseph R. Biden,Bernie Sanders,Elizabeth Warren,Amy Klobuchar,Pete Buttigieg
,2,1,61,,1,Elizabeth Warren,Bernie Sanders,skipped,skipped,skipped
,2,1,62,,1,Tulsi Gabbard,Bernie Sanders,Joseph R. Biden,skipped,skipped
,2,1,63,,1,Joseph R. Biden,Elizabeth Warren,Amy Klobuchar,Michael R. Bloomberg,Pete Buttigieg
,2,1,64,,1,Bernie Sanders,Elizabeth Warren,Tom Steyer,Joseph R. Biden,Pete Buttigieg
,2,1,65,,1,Joseph R. Biden,Pete Buttigieg,Amy Klobuchar,Bernie Sanders,skipped
,2,1,66,,1,Bernie Sanders,skipped,skipped,skipped,skipped
,2,1,67,,1,Joseph R. Biden,Pete Buttigieg,Amy Klobuchar,Elizabeth Warren,skipped
,2,1,68,,1,Bernie Sanders,Elizabeth Warren,Tom Steyer,Pete Buttigieg,Joseph R. Biden
,2,1,69,,1,Joseph R. Biden,Undeclared,Undeclared,Undeclared,Undeclared
,2,1,70,,1,Joseph R. Biden,Amy Klobuchar,Elizabeth Warren,Pete Buttigieg,skipped
,2,1,71,,1,Joseph R. Biden,Michael R. Bloomberg,Undeclared,skipped,skipped
,2,1,72,,1,Bernie Sanders,Elizabeth Warren,Tom Steyer,Joseph R. Biden,Pete Buttigieg
,2,1,73,,1,Bernie Sanders,skipped,skipped,skipped,skipped
,2,1,74,,1,Bernie Sanders,skipped,skipped,skipped,skipped
,2,1,75,,1,Elizabeth Warren,Bernie Sanders,Pete Buttigieg,Tom Steyer,Joseph R. Biden
,2,1,76,,1,Joseph R. Biden,Elizabeth Warren,Bernie Sanders,Amy Klobuchar,skipped
,2,1,78,,1,Bernie Sanders,Elizabeth Warren,skipped,skipped,skipped
,2,1,79,,1,Joseph R. Biden,Amy Klobuchar,skipped,skipped,skipped
,2,1,80,,1,Joseph R. Biden,skipped,skipped,skipped,skipped
,2,1,81,,1,Joseph R. Biden,Bernie Sanders,skipped,skipped,skipped
,2,1,82,,1,Bernie Sanders,Joseph R. Biden,skipped,skipped,skipped
,2,1,84,,1,Joseph R. Biden,Michael R. Bloomberg,Pete Buttigieg,Bernie Sanders,skipped
,2,1,85,,1,Bernie Sanders,Joseph R. Biden,skipped,skipped,skipped
,2,1,86,,1,Joseph R. Biden,Elizabeth Warren,skipped,skipped,skipped
,2,1,87,,1,Bernie Sanders,Elizabeth Warren,Joseph R. Biden,skipped,skipped
,2,1,88,,1,Bernie Sanders,Joseph R. Biden,Elizabeth Warren,skipped,skipped
,2,1,89,,1,Bernie Sanders,Bernie Sanders,Bernie Sanders,Bernie Sanders,Bernie Sanders
,2,1,90,,1,Joseph R. Biden,Michael R. Bloomberg,Pete Buttigieg,Amy Klobuchar,Bernie Sanders
,2,1,91,,1,Bernie Sanders,Elizabeth Warren,skipped,skipped,skipped
,2,1,92,,1,Bernie Sanders,Joseph R. Biden,skipped,skipped,skipped
,2,1,93,,1,Joseph R. Biden,Tom Steyer,Elizabeth Warren,skipped,skipped
,2,1,94,,1,Joseph R. Biden,Bernie Sanders,skipped,skipped,skipped
,2,1,95,,1,Joseph R. Biden,Amy Klobuchar,Pete Buttigieg,skipped,skipped
,2,1,96,,1,Joseph R. Biden,skipped,skipped,skipped,skipped
,2,1,97,,1,Joseph R. Biden,skipped,skipped,skipped,skipped
,2,1,98,,1,Bernie Sanders,Elizabeth Warren,skipped,skipped,skipped
,2,1,7,,1,Joseph R. Biden,Bernie Sanders,skipped,skipped,skipped
,2,1,51,,1,Joseph R. Biden,Bernie Sanders,Elizabeth Warren,skipped,skipped
,2,1,77,,1,skipped,skipped,skipped,skipped,skipped
,2,1,83,,1,skipped,skipped,skipped,skipped,skipped
,2,2,1,,1,Bernie Sanders,Elizabeth Warren,Amy Klobuchar,Joseph R. Biden,Michael R. Bloomberg
,2,2,3,,1,Bernie Sanders,skipped,skipped,skipped,skipped
,2,2,4,,1,Bernie Sanders,Pete Buttigieg,Amy Klobuchar,Tulsi Gabbard,Elizabeth Warren
,2,2,5,,1,Bernie Sanders,skipped,skipped,skipped,skipped
,2,2,6,,1,Elizabeth Warren,Bernie Sanders,Amy Klobuchar,Pete Buttigieg,Joseph R. Biden
,2,2,7,,1,Joseph R. Biden,Tom Steyer,Bernie Sanders,Amy Klobuchar,Tulsi Gabbard
,2,2,8,,1,Joseph R. Biden,Elizabeth Warren,Amy Klobuchar,Bernie Sanders,Pete Buttigieg
,2,2,9,,1,Bernie Sanders,skipped,skipped,skipped,skipped
,2,2,10,,1,Bernie Sanders,Elizabeth Warren,Pete Buttigieg,skipped,skipped
,2,2,11,,1,Bernie Sanders,Elizabeth Warren,Joseph R. Biden,skipped,skipped
,2,2,12,,1,Bernie Sanders,Joseph R. Biden,skipped,skipped,skipped
,2,2,13,,1,Joseph R. Biden,Bernie Sanders,Elizabeth Warren,skipped,skipped
,2,2,14,,1,Bernie Sanders,Elizabeth Warren,Joseph R. Biden,skipped,skipped
,2,2,15,,1,Bernie Sanders,Joseph R. Biden,Amy Klobuchar,Elizabeth Warren,Pete Buttigieg
,2,2,17,,1,Bernie Sanders,Elizabeth Warren,skipped,skipped,skipped
,2,2,18,,1,Joseph R. Biden,Tom Steyer,skipped,skipped,skipped
,2,2,19,,1,Joseph R. Biden,Bernie Sanders,Amy Klobuchar,Elizabeth Warren,Pete Buttigieg
,2,2,20,,1,Bernie Sanders,Elizabeth Warren,Amy Klobuchar,Undeclared,Tulsi Gabbard
,2,2,21,,1,Joseph R. Biden,Amy Klobuchar,Michael R. Bloomberg,Pete Buttigieg,Tulsi Gabbard
,2,2,22,,1,Bernie Sanders,Tulsi Gabbard,Joseph R. Biden,skipped,skipped
,2,2,23,,1,Bernie Sanders,Elizabeth Warren,Tulsi Gabbard,Joseph R. Biden,Pete Buttigieg
,2,2,24,,1,Joseph R. Biden,Bernie Sanders,Amy Klobuchar,Pete Buttigieg,Elizabeth Warren
,2,2,25,,1,Joseph R. Biden,Amy Klobuchar,Pete Buttigieg,Elizabeth Warren,Tom Steyer
,2,2,26,,1,Joseph R. Biden,Bernie Sanders,skipped,skipped,skipped
,2,2,27,,1,Joseph R. Biden,Amy Klobuchar,Elizabeth Warren,Pete Buttigieg,Michael R. Bloomberg
,2,2,28,,1,Elizabeth Warren,Joseph R. Biden,Bernie Sanders,Michael R. Bloomberg,Tom Steyer
,2,2,29,,1,Joseph R. Biden,skipped,skipped,skipped,skipped
,2,2,30,,1,Joseph R. Biden,Bernie Sanders,skipped,skipped,skipped
,2,2,31,,1,Bernie Sanders,Undeclared,Undeclared,Undeclared,Undeclared
,2,2,32,,1,Joseph R. Biden,Bernie Sanders,skipped,skipped,Tulsi Gabbard
,2,2,33,,1,Joseph R. Biden,skipped,skipped,skipped,skipped
,2,2,34,,1,Joseph R. Biden,Amy Klobuchar,skipped,skipped,skipped
,2,2,35,,1,Bernie Sanders,Joseph R. Biden,skipped,skipped,skipped
,2,2,36,,1,Bernie Sanders,skipped,skipped,skipped,skipped
,2,2,37,,1,Bernie Sanders,Elizabeth Warren,skipped,skipped,skipped
,2,2,38,,1,Bernie Sanders,skipped,skipped,skipped,skipped
,2,2,39,,1,Bernie Sanders,Bernie Sanders,Bernie Sanders,Bernie Sanders,Bernie Sanders
,2,2,40,,1,Bernie Sanders,Tulsi Gabbard,Joseph R. Biden,skipped,skipped
,2,2,41,,1,Joseph R. Biden,Bernie Sanders,skipped,skipped,skipped
,2,2,43,,1,Undeclared,Elizabeth Warren,Joseph R. Biden,Amy Klobuchar,skipped
,2,2,44,,1,Joseph R. Biden,Pete Buttigieg,skipped,skipped,skipped
,2,2,45,,1,Bernie Sanders,Elizabeth Warren,Undeclared,skipped,skipped
,2,2,46,,1,Bernie Sanders,Joseph R. Biden,Elizabeth Warren,Amy Klobuchar,Pete Buttigieg
,2,2,47,,1,Joseph R. Biden,Tom Steyer,skipped,skipped,skipped
,2,2,48,,1,Bernie Sanders,Elizabeth Warren,Joseph R. Biden,Amy Klobuchar,skipped
,2,2,49,,1,Bernie Sanders,skipped,skipped,skipped,skipped
,2,2,50,,1,Joseph R. Biden,Pete Buttigieg,Elizabeth Warren,Amy Klobuchar,Tom Steyer
,2,2,51,,1,Bernie Sanders,skipped,skipped,skipped,skipped
,2,2,52,,1,Bernie Sanders,Elizabeth Warren,Pete Buttigieg,Amy Klobuchar,Joseph R. Biden
,2,2,53,,1,Bernie Sanders,Joseph R. Biden,skipped,skipped,skipped
,2,2,54,,1,Bernie Sanders,Joseph R. Biden,skipped,skipped,skipped
,2,2,55,,1,Joseph R. Biden,Bernie Sanders,skipped,skipped,skipped
,2,2,56,,1,Joseph R. Biden,Elizabeth Warren,Amy Klobuchar,skipped,skipped
,2,2,57,,1,Joseph R. Biden,Pete Buttigieg,Elizabeth Warren,Amy Klobuchar,skipped
,2,2,58,,1,Elizabeth Warren,Bernie Sanders,Pete Buttigieg,Amy Klobuchar,Tom Steyer
,2,2,59,,1,Bernie Sanders,Tulsi Gabbard,Elizabeth Warren,Pete Buttigieg,Joseph R. Biden
,2,2,60,,1,Bernie Sanders,Elizabeth Warren,Tulsi Gabbard,Bernie Sanders,Joseph R. Biden
,2,2,61,,1,Bernie Sanders,skipped,skipped,skipped,skipped
,2,2,62,,1,Joseph R. Biden,skipped,skipped,skipped,skipped
,2,2,63,,1,Joseph R. Biden,skipped,skipped,skipped,skipped
,2,2,64,,1,Bernie Sanders,Joseph R. Biden,Elizabeth Warren,skipped,skipped
,2,2,65,,1,Joseph R. Biden,skipped,skipped,skipped,skipped
,2,2,66,,1,Joseph R. Biden,Tom Steyer,skipped,skipped,skipped
,2,2,67,,1,Bernie Sanders,skipped,skipped,skipped,skipped
,2,2,68,,1,Bernie Sanders,Joseph R. Biden,Elizabeth Warren,Amy Klobuchar,Tulsi Gabbard
,2,2,69,,1,Bernie Sanders,Elizabeth Warren,skipped,skipped,skipped
,2,2,70,,1,Joseph R. Biden,Bernie Sanders,skipped,skipped,skipped
,2,2,71,,1,Bernie Sanders,Undeclared,Undeclared,Undeclared,Undeclared
,2,2,72,,1,Joseph R. Biden,skipped,skipped,skipped,skipped
,2,2,73,,1,Bernie Sanders,Elizabeth Warren,Amy Klobuchar,Tom Steyer,Undeclared
,2,2,74,,1,Joseph R. Biden,skipped,skipped,skipped,skipped
,2,2,75,,1,Joseph R. Biden,skipped,skipped,skipped,skipped
,2,2,76,,1,Bernie Sanders,Joseph R. Biden,skipped,skipped,skipped
,2,2,77,,1,Elizabeth Warren,Joseph R. Biden,Bernie Sanders,skipped,skipped
,2,2,2,,1,Joseph R. Biden,Amy Klobuchar,Pete Buttigieg,Bernie Sanders,Elizabeth Warren
,2,2,16,,1,Joseph R. Biden,Bernie Sanders,skipped,skipped,skipped
,2,2,42,,1,Joseph R. Biden,Bernie Sanders,skipped,skipped,skipped
,2,3,1,,1,Joseph R. Biden,skipped,skipped,skipped,skipped
,2,3,2,,1,Bernie Sanders,Elizabeth Warren,Undeclared,Undeclared,Undeclared
,2,3,3,,1,Bernie Sanders,Joseph R. Biden,skipped,skipped,skipped
,2,3,4,,1,Bernie Sanders,skipped,skipped,skipped,skipped
,2,3,5,,1,Bernie Sanders,Elizabeth Warren,Joseph R. Biden,skipped,skipped
,2,3,6,,1,Joseph R. Biden,Amy Klobuchar,Elizabeth Warren,skipped,skipped
,2,3,7,,1,Joseph R. Biden,Elizabeth Warren,Michael R. Bloomberg,Amy Klobuchar,Bernie Sanders
,2,3,8,,1,Bernie Sanders,Joseph R. Biden,Elizabeth Warren,Amy Klobuchar,Pete Buttigieg
,2,3,9,,1,Elizabeth Warren,Tom Steyer,Amy Klobuchar,skipped,skipped
,2,3,10,,1,Bernie Sanders,Joseph R. Biden,skipped,skipped,skipped
,2,3,11,,1,Bernie Sanders,Elizabeth Warren,Joseph R. Biden,skipped,skipped
,2,3,12,,1,Bernie Sanders,Elizabeth Warren,Joseph R. Biden,skipped,skipped
,2,3,14,,1,Joseph R. Biden,Pete Buttigieg,Amy Klobuchar,Bernie Sanders,skipped
,2,3,15,,1,Joseph R. Biden,Bernie Sanders,skipped,skipped,skipped
,2,3,16,,1,Joseph R. Biden,skipped,skipped,skipped,skipped
,2,3,17,,1,Bernie Sanders,Joseph R. Biden,Elizabeth Warren,skipped,skipped
,2,3,18,,1,Joseph R. Biden,Michael R. Bloomberg,Amy Klobuchar,Pete Buttigieg,Tom Steyer
,2,3,19,,1,Bernie Sanders,Elizabeth Warren,Pete Buttigieg,Joseph R. Biden,Bernie Sanders
,2,3,20,,1,Bernie Sanders,Joseph R. Biden,skipped,skipped,skipped
,2,3,21,,1,Bernie Sanders,Joseph R. Biden,skipped,skipped,skipped
,2,3,22,,1,Bernie Sanders,Tulsi Gabbard,Tom Steyer,Elizabeth Warren,Undeclared
,2,3,23,,1,Bernie Sanders,skipped,skipped,skipped,skipped
,2,3,24,,1,Bernie Sanders,skipped,skipped,skipped,skipped
,2,3,25,,1,Joseph R. Biden,Amy Klobuchar,Elizabeth Warren,Pete Buttigieg,skipped
,2,3,26,,1,Elizabeth Warren,Bernie Sanders,Joseph R. Biden,skipped,skipped
,2,3,27,,1,Bernie Sanders,Elizabeth Warren,skipped,skipped,skipped
,2,3,28,,1,Bernie Sanders,skipped,skipped,skipped,skipped
,2,3,29,,1,Joseph R. Biden,skipped,skipped,skipped,skipped
,2,3,30,,1,Bernie Sanders,Elizabeth Warren,Pete Buttigieg,Amy Klobuchar,Undeclared
,2,3,31,,1,Bernie Sanders,skipped,skipped,skipped,skipped
,2,3,32,,1,Bernie Sanders,Elizabeth Warren,Tulsi Gabbard,Amy Klobuchar,Joseph R. Biden
,2,3,33,,1,Joseph R. Biden,Amy Klobuchar,Pete Buttigieg,skipped,skipped
,2,3,34,,1,skipped,Pete Buttigieg,Joseph R. Biden,Michael R. Bloomberg,Bernie Sanders
,2,3,35,,1,Bernie Sanders,Elizabeth Warren,Amy Klobuchar,skipped,skipped
,2,3,36,,1,Bernie Sanders,skipped,skipped,skipped,skipped
,2,3,37,,1,Bernie Sanders,skipped,skipped,skipped,skipped
,2,3,38,,1,Bernie Sanders,Elizabeth Warren,Joseph R. Biden,skipped,skipped
,2,3,39,,1,Elizabeth Warren,Pete Buttigieg,Joseph R. Biden,Amy Klobuchar,Bernie Sanders
,2,3,40,,1,Bernie Sanders,Tulsi Gabbard,skipped,skipped,skipped
,2,3,41,,1,Bernie Sanders,Joseph R. Biden,skipped,skipped,skipped
,2,3,42,,1,Bernie Sanders,Elizabeth Warren,Joseph R. Biden,skipped,skipped
,2,3,43,,1,Joseph R. Biden,Tom Steyer,Bernie Sanders,Amy Klobuchar,Tulsi Gabbard
,2,3,44,,1,Bernie Sanders,Elizabeth Warren,Amy Klobuchar,skipped,skipped
,2,3,45,,1,Bernie Sanders,skipped,skipped,skipped,skipped
,2,3,46,,1,Bernie Sanders,skipped,skipped,skipped,skipped
,2,3,47,,1,Bernie Sanders,Elizabeth Warren,Pete Buttigieg,Joseph R. Biden,Amy Klobuchar
,2,3,48,,1,Bernie Sanders,skipped,skipped,skipped,skipped
,2,3,49,,1,Bernie Sanders,Joseph R. Biden,Elizabeth Warren,Amy Klobuchar,Pete Buttigieg
,2,3,50,,1,Joseph R. Biden,Bernie Sanders,Elizabeth Warren,Pete Buttigieg,Tom Steyer
,2,3,51,,1,Bernie Sanders,Elizabeth Warren,skipped,skipped,skipped
,2,3,52,,1,Bernie Sanders,Elizabeth Warren,Pete Buttigieg,Joseph R. Biden,Amy Klobuchar
,2,3,53,,1,Bernie Sanders,Joseph R. Biden,Elizabeth Warren,Undeclared,Undeclared
,2,3,54,,1,Joseph R. Biden,Elizabeth Warren,Pete Buttigieg,Bernie Sanders,Amy Klobuchar
,2,3,55,,1,Bernie Sanders,skipped,skipped,skipped,skipped
,2,3,56,,1,Bernie Sanders,skipped,skipped,skipped,skipped
,2,3,57,,1,Bernie Sanders,skipped,skipped,skipped,skipped
,2,3,58,,1,Joseph R. Biden,Bernie Sanders,Elizabeth Warren,Pete Buttigieg,Tulsi Gabbard
,2,3,59,,1,Bernie Sanders,skipped,skipped,skipped,skipped
,2,3,60,,1,Bernie Sanders,Joseph R. Biden,skipped,skipped,skipped
,2,3,61,,1,Joseph R. Biden,Bernie Sanders,skipped,skipped,skipped
,2,3,62,,1,Bernie Sanders,Joseph R. Biden,skipped,skipped,skipped
,2,3,63,,1,Bernie Sanders,Elizabeth Warren,Joseph R. Biden,Pete Buttigieg,Tulsi Gabbard
,2,3,64,,1,Bernie Sanders,skipped,skipped,skipped,skipped
,2,3,65,,1,Bernie Sanders,skipped,skipped,skipped,skipped
,2,3,66,,1,Bernie Sanders,Joseph R. Biden,skipped,skipped,skipped
,2,3,67,,1,Joseph R. Biden,Bernie Sanders,Amy Klobuchar,Tulsi Gabbard,Elizabeth Warren
,2,3,68,,1,Joseph R. Biden,Bernie Sanders,Amy Klobuchar,Elizabeth Warren,Pete Buttigieg
,2,3,69,,1,Bernie Sanders,Elizabeth Warren,Amy Klobuchar,Pete Buttigieg,Joseph R. Biden
,2,3,70,,1,Bernie Sanders,Elizabeth Warren,Joseph R. Biden,skipped,skipped
,2,3,71,,1,Bernie Sanders,Joseph R. Biden,Elizabeth Warren,Amy Klobuchar,Pete Buttigieg
,2,3,72,,1,Elizabeth Warren,Tom Steyer,Joseph R. Biden,Pete Buttigieg,Bernie Sanders
,2,3,73,,1,Bernie Sanders,Joseph R. Biden,skipped,skipped,skipped
,2,3,74,,1,Elizabeth Warren,Joseph R. Biden,skipped,skipped,skipped
,2,3,75,,1,Bernie Sanders,Elizabeth Warren,Tulsi Gabbard,Joseph R. Biden,skipped
,2,3,76,,1,Bernie Sanders,Joseph R. Biden,Amy Klobuchar,Elizabeth Warren,skipped
,2,3,77,,1,Bernie Sanders,Elizabeth Warren,Pete Buttigieg,Joseph R. Biden,Tulsi Gabbard
,2,3,78,,1,Joseph R. Biden,skipped,skipped,skipped,skipped
,2,3,79,,1,Bernie Sanders,Joseph R. Biden,Elizabeth Warren,skipped,skipped
,2,3,80,,1,Elizabeth Warren,Bernie Sanders,Amy Klobuchar,Joseph R. Biden,skipped
,2,3,81,,1,Elizabeth Warren,Bernie Sanders,Amy Klobuchar,Joseph R. Biden,skipped
,2,3,82,,1,Elizabeth Warren,Bernie Sanders,Tom Steyer,Amy Klobuchar,Pete Buttigieg
,2,3,83,,1,Bernie Sanders,Elizabeth Warren,Joseph R. Biden,Amy Klobuchar,skipped
,2,3,84,,1,Bernie Sanders,Undeclared,skipped,skipped,skipped
,2,3,85,,1,Bernie Sanders,Joseph R. Biden,skipped,skipped,skipped
,2,3,86,,1,Bernie Sanders,Elizabeth Warren,Pete Buttigieg,Amy Klobuchar,Joseph R. Biden
,2,3,87,,1,Bernie Sanders,Amy Klobuchar,Elizabeth Warren,Joseph R. Biden,Tom Steyer
,2,3,88,,1,Joseph R. Biden,Pete Buttigieg,Amy Klobuchar,Michael R. Bloomberg,Tom Steyer
,2,3,89,,1,Joseph R. Biden,Amy Klobuchar,Pete Buttigieg,Elizabeth Warren,Bernie Sanders
,2,3,90,,1,Bernie Sanders,Elizabeth Warren,Pete Buttigieg,Amy Klobuchar,Tulsi Gabbard
,2,3,91,,1,Bernie Sanders,Elizabeth Warren,skipped,skipped,skipped
,2,3,93,,1,Bernie Sanders,skipped,skipped,skipped,skipped
,2,3,94,,1,Bernie Sanders,skipped,skipped,skipped,skipped
,2,3,95,,1,Joseph R. Biden,Bernie Sanders,skipped,skipped,skipped
,2,3,96,,1,Bernie Sanders,Joseph R. Biden,Elizabeth Warren,Undeclared,skipped
,2,3,97,,1,Joseph R. Biden,Pete Buttigieg,Bernie Sanders,skipped,skipped
,2,3,98,,1,Bernie Sanders,Elizabeth Warren,Pete Buttigieg,Tulsi Gabbard,Undeclared
,2,3,99,,1,Bernie Sanders,skipped,skipped,skipped,skipped
,2,3,100,,1,Joseph R. Biden,Bernie Sanders,Amy Klobuchar,Tulsi Gabbard,Michael R. Bloomberg
,2,3,13,,1,Bernie Sanders,Elizabeth Warren,Tulsi Gabbard,Undeclared,Undeclared
,2,3,92,,1,Joseph R. Biden,Elizabeth Warren,Bernie Sanders,skipped,skipped
,2,4,1,,1,Bernie Sanders,Elizabeth Warren,skipped,skipped,skipped
,2,4,2,,1,Bernie Sanders,Elizabeth Warren,Amy Klobuchar,Joseph R. Biden,Tulsi Gabbard
,2,4,3,,1,Joseph R. Biden,Bernie Sanders,skipped,skipped,skipped
,2,4,4,,1,Bernie Sanders,skipped,skipped,skipped,skipped
,2,4,5,,1,Joseph R. Biden,Bernie Sanders,skipped,skipped,skipped
,2,4,6,,1,Joseph R. Biden,Elizabeth Warren,Amy Klobuchar,Pete Buttigieg,Tom Steyer
,2,4,7,,1,Joseph R. Biden,Amy Klobuchar,Pete Buttigieg,skipped,skipped
,2,4,8,,1,Tulsi Gabbard,Bernie Sanders,Undeclared,Undeclared,Undeclared
,2,4,9,,1,Bernie Sanders,Tulsi Gabbard,Elizabeth Warren,Tom Steyer,Joseph R. Biden
,2,4,10,,1,Joseph R. Biden,Elizabeth Warren,Pete Buttigieg,Amy Klobuchar,Michael R. Bloomberg
,2,4,11,,1,Bernie Sanders,Pete Buttigieg,Tom Steyer,Joseph R. Biden,skipped
,2,4,12,,1,Bernie Sanders,Elizabeth Warren,Pete Buttigieg,Joseph R. Biden,Amy Klobuchar
,2,4,13,,1,Bernie Sanders,Joseph R. Biden,skipped,skipped,skipped
,2,4,14,,1,Bernie Sanders,skipped,skipped,skipped,skipped
,2,4,15,,1,Joseph R. Biden,Bernie Sanders,skipped,skipped,skipped
,2,4,16,,1,Bernie Sanders,Undeclared,Undeclared,Undeclared,Undeclared
,2,4,17,,1,Bernie Sanders,Tom Steyer,Joseph R. Biden,Undeclared,Undeclared
,2,4,18,,1,Elizabeth Warren,Bernie Sanders,Joseph R. Biden,skipped,skipped
,2,4,19,,1,Bernie Sanders,skipped,skipped,skipped,skipped
,2,4,20,,1,Bernie Sanders,skipped,skipped,skipped,skipped
