"ballotID","ballot_type","countingGroup","district","districtType","precinct","precinctPortion","votingLocation","rank1","rank2","rank3","rank4","rank5"
"00006_00000_349946_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","EMMA MULVANEY-STANAK","CHRISTOPHER HAESSLY","skipped","skipped","skipped"
"00006_00000_479304_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","EMMA MULVANEY-STANAK","skipped","skipped","skipped","skipped"
"00006_00000_459286_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","skipped","skipped","skipped","skipped"
"00006_00000_963871_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","CHRISTOPHER HAESSLY","WILLIAM EMMONS","EMMA MULVANEY-STANAK","skipped"
"00006_00000_358789_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","EMMA MULVANEY-STANAK","skipped","skipped","skipped","skipped"
"00006_00000_073381_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","EMMA MULVANEY-STANAK","JOAN SHANNON","skipped","skipped","skipped"
"00006_00000_795181_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","skipped","skipped","skipped","skipped"
"00006_00000_759119_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","skipped","skipped","skipped","skipped"
"00006_00000_992484_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","EMMA MULVANEY-STANAK","JOAN SHANNON","skipped","skipped","skipped"
"00006_00000_333513_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","skipped","skipped","skipped","skipped"
"00006_00000_387669_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","skipped","skipped","skipped","skipped"
"00006_00000_504028_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","skipped","skipped","skipped","skipped"
"00006_00000_265262_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","skipped","skipped","skipped","skipped"
"00006_00000_775840_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","EMMA MULVANEY-STANAK","JOAN SHANNON","skipped","skipped","skipped"
"00006_00000_605264_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","CHRISTOPHER HAESSLY","skipped","skipped","skipped"
"00006_00000_497378_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","skipped","skipped","skipped","skipped"
"00006_00000_525232_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","EMMA MULVANEY-STANAK","JOAN SHANNON","skipped","skipped","skipped"
"00006_00000_787293_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","skipped","skipped","skipped","skipped"
"00006_00000_596771_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","EMMA MULVANEY-STANAK","WILLIAM EMMONS","JOAN SHANNON","CHRISTOPHER HAESSLY","skipped"
"00006_00000_194113_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","skipped","skipped","skipped","skipped"
"00006_00000_853921_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","EMMA MULVANEY-STANAK","skipped","skipped","skipped"
"00006_00000_687342_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","EMMA MULVANEY-STANAK","WILLIAM EMMONS","skipped","skipped","skipped"
"00006_00000_338742_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","EMMA MULVANEY-STANAK","skipped","skipped","skipped","skipped"
"00006_00000_273198_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","EMMA MULVANEY-STANAK","JOAN SHANNON","CHRISTOPHER HAESSLY","WILLIAM EMMONS","skipped"
"00006_00000_354162_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","CHRISTOPHER HAESSLY","skipped","skipped","skipped"
"00006_00000_857659_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","CHRISTOPHER HAESSLY","EMMA MULVANEY-STANAK","skipped","skipped"
"00006_00000_341224_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","EMMA MULVANEY-STANAK","JOAN SHANNON","skipped","skipped","skipped"
"00006_00000_488994_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","CHRISTOPHER HAESSLY","skipped","skipped","skipped"
"00006_00000_746816_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","EMMA MULVANEY-STANAK","skipped","skipped","skipped","skipped"
"00006_00000_921708_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","skipped","skipped","skipped","skipped"
"00006_00000_359073_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","EMMA MULVANEY-STANAK","JOAN SHANNON","skipped","skipped","skipped"
"00006_00000_531164_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","EMMA MULVANEY-STANAK","skipped","skipped","skipped"
"00006_00000_186207_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","EMMA MULVANEY-STANAK","skipped","skipped","skipped","skipped"
"00006_00000_209871_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","skipped","skipped","skipped","skipped"
"00006_00000_122260_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","skipped","skipped","skipped","skipped"
"00006_00000_567057_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","skipped","skipped","skipped","skipped"
"00006_00000_976710_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","EMMA MULVANEY-STANAK","skipped","skipped","skipped","skipped"
"00006_00000_219030_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","JOAN SHANNON","JOAN SHANNON","skipped","skipped"
"00006_00000_029657_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","EMMA MULVANEY-STANAK","WILLIAM EMMONS","CHRISTOPHER HAESSLY","skipped"
"00006_00000_282291_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","skipped","skipped","skipped","skipped"
"00006_00000_097044_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","skipped","skipped","skipped","skipped"
"00006_00000_536559_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","EMMA MULVANEY-STANAK","skipped","skipped","skipped","skipped"
"00006_00000_403727_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","skipped","skipped","skipped","skipped"
"00006_00000_843436_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","EMMA MULVANEY-STANAK","skipped","skipped","skipped","skipped"
"00006_00000_439776_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","skipped","skipped","skipped","skipped"
"00006_00000_079738_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","skipped","skipped","skipped","skipped"
"00006_00000_996215_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","EMMA MULVANEY-STANAK","CHRISTOPHER HAESSLY","WILLIAM EMMONS","skipped"
"00006_00000_337252_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","skipped","skipped","skipped","skipped"
"00006_00000_678238_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","skipped","skipped","skipped","skipped"
"00006_00000_111851_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","EMMA MULVANEY-STANAK","JOAN SHANNON","skipped","skipped","skipped"
"00006_00000_127623_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","EMMA MULVANEY-STANAK","WILLIAM EMMONS","skipped","skipped","skipped"
"00006_00000_123247_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","EMMA MULVANEY-STANAK","JOAN SHANNON","WILLIAM EMMONS","CHRISTOPHER HAESSLY","skipped"
"00006_00000_715051_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","EMMA MULVANEY-STANAK","JOAN SHANNON","skipped","skipped","skipped"
"00006_00000_246781_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","skipped","skipped","skipped","skipped"
"00006_00000_456038_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","EMMA MULVANEY-STANAK","JOAN SHANNON","CHRISTOPHER HAESSLY","WILLIAM EMMONS","skipped"
"00006_00000_764236_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","EMMA MULVANEY-STANAK","skipped","skipped","skipped"
"00006_00000_984842_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","EMMA MULVANEY-STANAK","CHRISTOPHER HAESSLY","JOAN SHANNON","WILLIAM EMMONS","skipped"
"00006_00000_635226_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","skipped","skipped","skipped","skipped"
"00006_00000_998399_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","EMMA MULVANEY-STANAK","CHRISTOPHER HAESSLY","JOAN SHANNON","WILLIAM EMMONS","skipped"
"00006_00000_867860_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","EMMA MULVANEY-STANAK","JOAN SHANNON","skipped","skipped","skipped"
"00006_00000_209925_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","skipped","skipped","skipped","skipped"
"00006_00000_932048_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","EMMA MULVANEY-STANAK","CHRISTOPHER HAESSLY","skipped","WILLIAM EMMONS"
"00006_00000_840607_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","EMMA MULVANEY-STANAK","CHRISTOPHER HAESSLY","WILLIAM EMMONS","WILLIAM EMMONS"
"00006_00000_800245_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","EMMA MULVANEY-STANAK","skipped","skipped","skipped","skipped"
"00006_00000_124487_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","CHRISTOPHER HAESSLY","CHRISTOPHER HAESSLY","skipped","skipped"
"00006_00000_239181_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","skipped","skipped","skipped","skipped"
"00006_00000_416065_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","skipped","skipped","skipped","skipped"
"00006_00000_516960_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","EMMA MULVANEY-STANAK","skipped","skipped","skipped","skipped"
"00006_00000_689893_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","EMMA MULVANEY-STANAK","JOAN SHANNON","WILLIAM EMMONS","CHRISTOPHER HAESSLY","skipped"
"00006_00000_175494_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","JOAN SHANNON","JOAN SHANNON","JOAN SHANNON","JOAN SHANNON"
"00006_00000_363717_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","EMMA MULVANEY-STANAK","skipped","skipped","skipped","skipped"
"00006_00000_307477_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","skipped","skipped","skipped","skipped"
"00006_00000_540443_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","skipped","skipped","skipped","skipped"
"00006_00000_797323_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","skipped","skipped","skipped","skipped"
"00006_00000_543695_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","EMMA MULVANEY-STANAK","skipped","skipped","skipped","skipped"
"00006_00000_574467_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","EMMA MULVANEY-STANAK","skipped","skipped","skipped","skipped"
"00006_00000_053483_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","EMMA MULVANEY-STANAK","skipped","skipped","skipped"
"00006_00000_173093_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","EMMA MULVANEY-STANAK","CHRISTOPHER HAESSLY","WILLIAM EMMONS","JOAN SHANNON","skipped"
"00006_00000_536724_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","EMMA MULVANEY-STANAK","skipped","skipped","skipped","skipped"
"00006_00000_736061_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","EMMA MULVANEY-STANAK","JOAN SHANNON","skipped","skipped","skipped"
"00006_00000_427917_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","EMMA MULVANEY-STANAK","JOAN SHANNON","skipped","skipped","skipped"
"00006_00000_483009_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","EMMA MULVANEY-STANAK","skipped","skipped","skipped","skipped"
"00006_00000_851509_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","skipped","skipped","skipped","skipped"
"00006_00000_013312_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","EMMA MULVANEY-STANAK","JOAN SHANNON","skipped","skipped","skipped"
"00006_00000_260884_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","EMMA MULVANEY-STANAK","CHRISTOPHER HAESSLY","skipped","skipped"
"00006_00000_301228_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","JOAN SHANNON","JOAN SHANNON","JOAN SHANNON","JOAN SHANNON"
"00006_00000_735230_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","EMMA MULVANEY-STANAK","CHRISTOPHER HAESSLY","WILLIAM EMMONS","skipped","skipped"
"00006_00000_931999_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","EMMA MULVANEY-STANAK","skipped","skipped","skipped","skipped"
"00006_00000_979805_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","skipped","skipped","skipped","skipped"
"00006_00000_118866_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","EMMA MULVANEY-STANAK","JOAN SHANNON","skipped","skipped","skipped"
"00006_00000_232195_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","EMMA MULVANEY-STANAK","CHRISTOPHER HAESSLY","skipped","skipped"
"00006_00000_353336_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","Write-in","CHRISTOPHER HAESSLY","WILLIAM EMMONS","skipped"
"00006_00000_661914_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","WILLIAM EMMONS","CHRISTOPHER HAESSLY","skipped","skipped"
"00006_00000_412675_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","CHRISTOPHER HAESSLY","skipped","skipped","skipped"
"00006_00000_223735_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","EMMA MULVANEY-STANAK","JOAN SHANNON","skipped","skipped","skipped"
"00006_00000_276830_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","skipped","skipped","skipped","skipped"
"00006_00000_895435_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","skipped","skipped","skipped","skipped"
"00006_00000_448412_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","EMMA MULVANEY-STANAK","skipped","skipped","skipped"
"00006_00000_260768_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","EMMA MULVANEY-STANAK","JOAN SHANNON","skipped","skipped","skipped"
