RowNumber,Choice_1,Choice_2,Choice_3,Choice_4,Choice_5,Choice_6
626,Jesse Cornett,Tiffany Koyama Lane,Angelita Morillo,Rex Burkholder,Daniel DeMelo,
628,Philippe Knab,Steve Novick,Tiffany Koyama Lane,Angelita Morillo,Chris Flanary,Jesse Cornett
630,Jesse Cornett,Angelita Morillo,Kelly Janes (KJ),Kezia Wanner,,
632,Angelita Morillo,Kezia Wanner,Cristal Azul Otero,Melodie Beirwagen,Tiffany Koyama Lane,Jaclyn Smith-Moore
636,Rex Burkholder,Chris Flanary,Patrick Hilton,Tiffany Koyama Lane,Philippe Knab,Angelita Morillo
655,Steve Novick,,,,,
658,Tiffany Koyama Lane,Angelita Morillo,,,,
659,Jesse Cornett,Sandeep Bali,Steve Novick,Daniel DeMelo,Chris Flanary,Angelita Morillo
662,Matthew (Matt) Anderson,Harrison Kass,Rex Burkholder,Luke Zak,Tiffany Koyama Lane,Jonathan (Jon) Walker
678,Harrison Kass,Kezia Wanner,Dan Gilk,,,
680,Christopher Brummer,David O'Connor,Steve Novick,Terry Parker,Jesse Cornett,Clifford Higgins
681,Harrison Kass,David O'Connor,Steve Novick,Brian Conley,Theo Hathaway Saner,Clifford Higgins
683,Daniel DeMelo,Philippe Knab,Jonathan (Jon) Walker,Rex Burkholder,Jesse Cornett,Christopher Brummer
686,Tiffany Koyama Lane,Rex Burkholder,,,,
693,Tiffany Koyama Lane,Sandeep Bali,,,,
703,Steve Novick,,,,,
704,Matthew (Matt) Anderson,Terry Parker,Harrison Kass,Kezia Wanner,,
720,Tiffany Koyama Lane,Rex Burkholder,Angelita Morillo,,,
727,Tiffany Koyama Lane,Angelita Morillo,Jesse Cornett,,,
733,Angelita Morillo,Steve Novick,Jonathan (Jon) Walker,Sandeep Bali,Rex Burkholder,Jesse Cornett
734,Tiffany Koyama Lane,Chris Flanary,Angelita Morillo,,,
740,Angelita Morillo,Jesse Cornett,Chris Flanary,,,
743,Angelita Morillo,Jesse Cornett,Chris Flanary,,,
744,Angelita Morillo,Tiffany Koyama Lane,Steve Novick,Jonathan (Jon) Walker,Brian Conley,Philippe Knab
745,Jonathan (Jon) Walker,,,,,
746,Tiffany Koyama Lane,Philippe Knab,Steve Novick,Angelita Morillo,Brian Conley,Jonathan (Jon) Walker
747,,,,,,
760,Steve Novick,Cristal Azul Otero,Tiffany Koyama Lane,Jonathan (Jon) Walker,Jesse Cornett,Angelita Morillo
761,Tiffany Koyama Lane,Philippe Knab,Angelita Morillo,Rex Burkholder,,
764,Kezia Wanner,Matthew (Matt) Anderson,Harrison Kass,Philippe Knab,Ahlam K Osman,Steve Novick
786,Angelita Morillo,Steve Novick,Tiffany Koyama Lane,Chris Flanary,Rex Burkholder,Jesse Cornett
790,Angelita Morillo,Steve Novick,Tiffany Koyama Lane,Chris Flanary,Jesse Cornett,Rex Burkholder
793,Steve Novick,Philippe Knab,Cristal Azul Otero,Rex Burkholder,Angelita Morillo,Jesse Cornett
794,Steve Novick,Tiffany Koyama Lane,Angelita Morillo,Chris Flanary,Cristal Azul Otero,Rex Burkholder
797,Steve Novick,Cristal Azul Otero,,,,
799,Steve Novick,Philippe Knab,Cristal Azul Otero,,,
800,Steve Novick,Philippe Knab,Cristal Azul Otero,,,
802,,,,,,
805,Steve Novick,,,,,
808,Daniel DeMelo,Luke Zak,Angelita Morillo,Steve Novick,Philippe Knab,Kezia Wanner
824,Jesse Cornett,Steve Novick,Kezia Wanner,Philippe Knab,Cristal Azul Otero,
826,Steve Novick,Jesse Cornett,Philippe Knab,Cristal Azul Otero,Jonathan (Jon) Walker,Chris Flanary
829,Steve Novick,,,,,
841,Tiffany Koyama Lane,David O'Connor,Dan Gilk,Rex Burkholder,Jonathan (Jon) Walker,Harrison Kass
842,Steve Novick,Jonathan (Jon) Walker,David O'Connor,Terry Parker,Daniel DeMelo,Brian Conley
853,Steve Novick,Jesse Cornett,Kezia Wanner,,,
868,Sandeep Bali,Harrison Kass,Terry Parker,Jonathan (Jon) Walker,Luke Zak,Jesse Cornett
875,Rex Burkholder,Brian Conley,Daniel DeMelo,Philippe Knab,,
877,Jesse Cornett,Kezia Wanner,Philippe Knab,Steve Novick,Rex Burkholder,Cristal Azul Otero
879,Philippe Knab,Steve Novick,Jonathan (Jon) Walker,Cristal Azul Otero,,
880,Jesse Cornett,Jaclyn Smith-Moore,Kelly Janes (KJ),Cristal Azul Otero,Ahlam K Osman,Theo Hathaway Saner
881,Rex Burkholder,Philippe Knab,Cristal Azul Otero,Angelita Morillo,Jesse Cornett,
882,Jesse Cornett,Steve Novick,Tiffany Koyama Lane,Angelita Morillo,Rex Burkholder,Ahlam K Osman
883,Jesse Cornett,Steve Novick,Tiffany Koyama Lane,Angelita Morillo,Rex Burkholder,Ahlam K Osman
893,Theo Hathaway Saner,Steve Novick,,,,
895,Philippe Knab,Melodie Beirwagen,Jonathan (Jon) Walker,Sandeep Bali,Jesse Cornett,Chris Flanary
899,Jesse Cornett,Rex Burkholder,Philippe Knab,Cristal Azul Otero,Angelita Morillo,Tiffany Koyama Lane
900,Jesse Cornett,Kezia Wanner,Philippe Knab,Steve Novick,Rex Burkholder,Cristal Azul Otero
901,Tiffany Koyama Lane,Angelita Morillo,Rex Burkholder,,,
906,Cristal Azul Otero,Angelita Morillo,Philippe Knab,Theo Hathaway Saner,Brian Conley,Chris Flanary
907,Jesse Cornett,Philippe Knab,Kezia Wanner,Rex Burkholder,Ahlam K Osman,Sandeep Bali
908,Chris Flanary,Angelita Morillo,Tiffany Koyama Lane,Kezia Wanner,Rex Burkholder,Brian Conley
909,Steve Novick,Philippe Knab,Cristal Azul Otero,,,
911,Philippe Knab,Jonathan (Jon) Walker,Angelita Morillo,Steve Novick,Cristal Azul Otero,Jesse Cornett
914,Jesse Cornett,Angelita Morillo,Rex Burkholder,Tiffany Koyama Lane,Steve Novick,Kezia Wanner
916,Harrison Kass,Kezia Wanner,,,,
918,Harrison Kass,Jonathan (Jon) Walker,Patrick Hilton,Daniel DeMelo,Sandeep Bali,John Sweeney
919,Heart Free Pham,Melodie Beirwagen,Harrison Kass,,,
920,Steve Novick,Cristal Azul Otero,Angelita Morillo,Tiffany Koyama Lane,Jesse Cornett,Rex Burkholder
921,Harrison Kass,Kezia Wanner,Sandeep Bali,Dan Gilk,Terry Parker,Kenneth (Kent) R Landgraver III
922,Tiffany Koyama Lane,Chris Flanary,Steve Novick,Heart Free Pham,Cristal Azul Otero,
924,Rex Burkholder,Philippe Knab,Cristal Azul Otero,Angelita Morillo,Jesse Cornett,Daniel DeMelo
926,Melodie Beirwagen,Steve Novick,Jesse Cornett,Brian Conley,Kezia Wanner,Ahlam K Osman
927,Steve Novick,Philippe Knab,Cristal Azul Otero,Rex Burkholder,Jesse Cornett,Clifford Higgins
928,Jesse Cornett,Steve Novick,Rex Burkholder,Cristal Azul Otero,Angelita Morillo,Tiffany Koyama Lane
929,Jesse Cornett,Steve Novick,Rex Burkholder,Cristal Azul Otero,Angelita Morillo,Tiffany Koyama Lane
930,Jesse Cornett,Kezia Wanner,Steve Novick,Rex Burkholder,Daniel DeMelo,Harrison Kass
931,Rex Burkholder,Steve Novick,Chris Flanary,Jesse Cornett,Angelita Morillo,
935,Angelita Morillo,,,,,
936,Tiffany Koyama Lane,Angelita Morillo,Steve Novick,Rex Burkholder,Luke Zak,Ahlam K Osman
937,Angelita Morillo,Tiffany Koyama Lane,Chris Flanary,Luke Zak,Philippe Knab,Steve Novick
941,Steve Novick,Jesse Cornett,Rex Burkholder,Kezia Wanner,Sandeep Bali,Daniel DeMelo
942,Tiffany Koyama Lane,Angelita Morillo,Jesse Cornett,Rex Burkholder,Jonathan (Jon) Walker,Ahlam K Osman
943,Rex Burkholder,Steve Novick,Philippe Knab,Cristal Azul Otero,,
944,Steve Novick,Rex Burkholder,Tiffany Koyama Lane,Angelita Morillo,,
945,Steve Novick,Philippe Knab,Cristal Azul Otero,Rex Burkholder,Angelita Morillo,Jesse Cornett
946,Angelita Morillo,Tiffany Koyama Lane,Chris Flanary,Ahlam K Osman,Dan Gilk,Brian Conley
947,Angelita Morillo,Tiffany Koyama Lane,Chris Flanary,Ahlam K Osman,Steve Novick,Jesse Cornett
948,Rex Burkholder,Steve Novick,Angelita Morillo,Tiffany Koyama Lane,Daniel DeMelo,Philippe Knab
951,Steve Novick,Philippe Knab,Cristal Azul Otero,Rex Burkholder,Angelita Morillo,Jesse Cornett
952,Tiffany Koyama Lane,Kezia Wanner,Angelita Morillo,,,
953,Rex Burkholder,Kezia Wanner,Angelita Morillo,Ahlam K Osman,Steve Novick,Jesse Cornett
955,Steve Novick,Philippe Knab,Cristal Azul Otero,Rex Burkholder,Angelita Morillo,Jesse Cornett
957,Angelita Morillo,Tiffany Koyama Lane,Philippe Knab,Luke Zak,Steve Novick,
958,Harrison Kass,Steve Novick,,,,
959,Steve Novick,Jesse Cornett,Jonathan (Jon) Walker,Rex Burkholder,,
960,Kezia Wanner,Harrison Kass,Steve Novick,,,
961,Tiffany Koyama Lane,Angelita Morillo,Jesse Cornett,,,
962,Tiffany Koyama Lane,Angelita Morillo,Steve Novick,Rex Burkholder,Luke Zak,Ahlam K Osman
963,Tiffany Koyama Lane,Angelita Morillo,Chris Flanary,Steve Novick,Ahlam K Osman,
964,Angelita Morillo,Tiffany Koyama Lane,Steve Novick,Rex Burkholder,Chris Flanary,Jesse Cornett
966,Chris Flanary,Jesse Cornett,Steve Novick,Angelita Morillo,Tiffany Koyama Lane,Daniel DeMelo
967,Tiffany Koyama Lane,Steve Novick,Philippe Knab,Angelita Morillo,Rex Burkholder,Jonathan (Jon) Walker
968,Jonathan (Jon) Walker,Steve Novick,Jesse Cornett,Cristal Azul Otero,Philippe Knab,
969,Kezia Wanner,Harrison Kass,Daniel DeMelo,,,
970,Steve Novick,Angelita Morillo,Tiffany Koyama Lane,,,
971,Rex Burkholder,Philippe Knab,,,,
972,Steve Novick,Jesse Cornett,Philippe Knab,,,
973,Tiffany Koyama Lane,Philippe Knab,Harrison Kass,,,
974,Kezia Wanner,Steve Novick,Daniel DeMelo,Rex Burkholder,Sandeep Bali,
975,Kezia Wanner,Daniel DeMelo,Rex Burkholder,Steve Novick,Sandeep Bali,Harrison Kass
976,Steve Novick,Philippe Knab,Cristal Azul Otero,,,
977,Steve Novick,Philippe Knab,Cristal Azul Otero,,,
979,Angelita Morillo,Tiffany Koyama Lane,Jesse Cornett,Steve Novick,,
980,Steve Novick,Jesse Cornett,Kezia Wanner,Angelita Morillo,,
982,Daniel DeMelo,Kezia Wanner,Harrison Kass,Sandeep Bali,Rex Burkholder,Philippe Knab
984,Steve Novick,Tiffany Koyama Lane,Angelita Morillo,Luke Zak,Jesse Cornett,Rex Burkholder
985,Angelita Morillo,Tiffany Koyama Lane,Chris Flanary,Steve Novick,Luke Zak,Jesse Cornett
986,Steve Novick,Philippe Knab,Cristal Azul Otero,Rex Burkholder,Angelita Morillo,Jesse Cornett
987,Steve Novick,Jesse Cornett,Daniel DeMelo,Harrison Kass,Kezia Wanner,Rex Burkholder
989,Angelita Morillo,Steve Novick,Tiffany Koyama Lane,,,
991,Brian Conley,Angelita Morillo,Melodie Beirwagen,Jesse Cornett,Chris Flanary,Cristal Azul Otero
992,Rex Burkholder,Tiffany Koyama Lane,Luke Zak,,,
993,Tiffany Koyama Lane,Angelita Morillo,Steve Novick,Jesse Cornett,,
994,Rex Burkholder,Tiffany Koyama Lane,Ahlam K Osman,,,
997,Jesse Cornett,Philippe Knab,Tiffany Koyama Lane,Kezia Wanner,Jonathan (Jon) Walker,Chris Flanary
998,Kezia Wanner,John Sweeney,Matthew (Matt) Anderson,Jonathan (Jon) Walker,,
999,Rex Burkholder,Angelita Morillo,Steve Novick,John Sweeney,Chris Flanary,Cristal Azul Otero
1000,Harrison Kass,Steve Novick,,,,
1001,Angelita Morillo,Ahlam K Osman,Jesse Cornett,Brian Conley,Steve Novick,Melodie Beirwagen
1007,Angelita Morillo,Steve Novick,Tiffany Koyama Lane,,,
1008,Steve Novick,Philippe Knab,Cristal Azul Otero,Tiffany Koyama Lane,Jesse Cornett,
1010,Steve Novick,Kezia Wanner,,,,
1011,Steve Novick,Philippe Knab,Cristal Azul Otero,Rex Burkholder,Jesse Cornett,Jonathan (Jon) Walker
1012,Steve Novick,Chris Flanary,Jonathan (Jon) Walker,Jesse Cornett,Philippe Knab,Tiffany Koyama Lane
1013,Kezia Wanner,Harrison Kass,Steve Novick,,,
1017,Steve Novick,Rex Burkholder,Jonathan (Jon) Walker,Kezia Wanner,Philippe Knab,Harrison Kass
1018,Jesse Cornett,Kezia Wanner,Cristal Azul Otero,Philippe Knab,Steve Novick,Tiffany Koyama Lane
1019,Kezia Wanner,,,,,
1020,Angelita Morillo,Kezia Wanner,Tiffany Koyama Lane,Ahlam K Osman,Daniel DeMelo,Luke Zak
1021,Steve Novick,Philippe Knab,Cristal Azul Otero,Rex Burkholder,Angelita Morillo,Jesse Cornett
1022,Chris Flanary,Daniel DeMelo,Ahlam K Osman,Tiffany Koyama Lane,Rex Burkholder,Steve Novick
1024,Tiffany Koyama Lane,Steve Novick,Philippe Knab,Kezia Wanner,Harrison Kass,Sandeep Bali
1025,Angelita Morillo,Steve Novick,Tiffany Koyama Lane,Philippe Knab,Cristal Azul Otero,
1030,Rex Burkholder,,,,,
1031,Rex Burkholder,Daniel DeMelo,Luke Zak,Patrick Hilton,Clifford Higgins,Theo Hathaway Saner
1033,Tiffany Koyama Lane,,,,,
1036,Kezia Wanner,Tiffany Koyama Lane,Angelita Morillo,Ahlam K Osman,Matthew (Matt) Anderson,Cristal Azul Otero
1037,Kezia Wanner,Tiffany Koyama Lane,Angelita Morillo,Ahlam K Osman,Matthew (Matt) Anderson,Cristal Azul Otero
1038,Steve Novick,Jesse Cornett,Daniel DeMelo,,,
1039,Angelita Morillo,Steve Novick,Tiffany Koyama Lane,Chris Flanary,Rex Burkholder,Jesse Cornett
1040,Angelita Morillo,Steve Novick,Daniel DeMelo,Jesse Cornett,,
1044,Brian Conley,Rex Burkholder,Tiffany Koyama Lane,Cristal Azul Otero,Chris Flanary,Theo Hathaway Saner
1045,Kezia Wanner,Steve Novick,Jesse Cornett,,,
1046,Angelita Morillo,Steve Novick,Tiffany Koyama Lane,,,
1048,,,,,,
1049,Jonathan (Jon) Walker,,,,,
1050,Tiffany Koyama Lane,Angelita Morillo,Jesse Cornett,Rex Burkholder,Cristal Azul Otero,Steve Novick
1051,Rex Burkholder,Jesse Cornett,Angelita Morillo,Steve Novick,Tiffany Koyama Lane,
1052,Angelita Morillo,Tiffany Koyama Lane,Steve Novick,Rex Burkholder,,
1053,Steve Novick,Rex Burkholder,,,,
1055,Jesse Cornett,Steve Novick,Cristal Azul Otero,Philippe Knab,Chris Flanary,John Sweeney
1056,Tiffany Koyama Lane,Daniel DeMelo,Melodie Beirwagen,,,
1057,Tiffany Koyama Lane,Melodie Beirwagen,,,,
1058,Tiffany Koyama Lane,Melodie Beirwagen,,,,
1061,Tiffany Koyama Lane,Rex Burkholder,Steve Novick,Jesse Cornett,Angelita Morillo,Daniel DeMelo
1065,Jesse Cornett,Philippe Knab,Matthew (Matt) Anderson,Jonathan (Jon) Walker,,
1066,Jesse Cornett,Philippe Knab,Rex Burkholder,Ahlam K Osman,Jonathan (Jon) Walker,Matthew (Matt) Anderson
1067,Kezia Wanner,Jonathan (Jon) Walker,,,,
1068,Steve Novick,Angelita Morillo,Tiffany Koyama Lane,Rex Burkholder,Chris Flanary,
1069,Tiffany Koyama Lane,Matthew (Matt) Anderson,Philippe Knab,Cristal Azul Otero,,
1070,Steve Novick,Philippe Knab,Cristal Azul Otero,Rex Burkholder,Kezia Wanner,
1074,Dan Gilk,Daniel DeMelo,Sandeep Bali,Tiffany Koyama Lane,Jesse Cornett,Rex Burkholder
1075,Jesse Cornett,Steve Novick,Tiffany Koyama Lane,Angelita Morillo,Rex Burkholder,Chris Flanary
1076,Matthew (Matt) Anderson,Kezia Wanner,,,,
1077,Matthew (Matt) Anderson,Kezia Wanner,Harrison Kass,Steve Novick,,
1079,Steve Novick,Philippe Knab,Cristal Azul Otero,,,
1080,Sandeep Bali,Cristal Azul Otero,Ahlam K Osman,Steve Novick,Matthew (Matt) Anderson,Kelly Janes (KJ)
1081,Steve Novick,Rex Burkholder,,,,
1083,Rex Burkholder,Steve Novick,Philippe Knab,Angelita Morillo,Tiffany Koyama Lane,Cristal Azul Otero
1084,Jonathan (Jon) Walker,Cristal Azul Otero,Steve Novick,,,
1086,Steve Novick,Philippe Knab,Cristal Azul Otero,Rex Burkholder,Angelita Morillo,Jesse Cornett
1088,Harrison Kass,Kezia Wanner,Melodie Beirwagen,,,
1089,Rex Burkholder,Steve Novick,Angelita Morillo,Jesse Cornett,Cristal Azul Otero,Jonathan (Jon) Walker
1091,Rex Burkholder,Angelita Morillo,Steve Novick,Tiffany Koyama Lane,Jesse Cornett,Chris Flanary
1092,Rex Burkholder,Angelita Morillo,Steve Novick,Tiffany Koyama Lane,Jesse Cornett,Chris Flanary
1094,Steve Novick,Angelita Morillo,Tiffany Koyama Lane,,,
1095,Jesse Cornett,Daniel DeMelo,Steve Novick,,,
1096,Steve Novick,Philippe Knab,Cristal Azul Otero,Angelita Morillo,Jesse Cornett,Rex Burkholder
1098,Angelita Morillo,Rex Burkholder,Tiffany Koyama Lane,Chris Flanary,Jesse Cornett,Ahlam K Osman
1099,Tiffany Koyama Lane,Rex Burkholder,Steve Novick,Angelita Morillo,Jesse Cornett,Cristal Azul Otero
1104,Harrison Kass,Kezia Wanner,Sandeep Bali,Terry Parker,Matthew (Matt) Anderson,Tiffany Koyama Lane
1105,Angelita Morillo,Tiffany Koyama Lane,Chris Flanary,,,
